epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,114.061,2.94535,3.99786,0.11033,0.00325,0.89305,0.01636,0.00289,3.30109,26.3215,0.16065,0.00996269,0.0033209,0.00996269,0.0033209,0.0767537,0.0701119,0.00996269,0.0033209
2,220.601,1.46094,2.49361,0.04541,0.00686,0.13427,0.01252,0.00602,0.86422,4.14739,0.03398,0.0197651,0.00658835,0.0197651,0.00658835,0.0532228,0.0400461,0.0197651,0.00658835
3,326.451,0.75907,1.87749,0.02096,0.00643,0.99836,0.03313,0.01335,2.30175,3.04165,0.09791,0.0293694,0.00978981,0.0293694,0.00978981,0.0294938,0.00991419,0.0293694,0.00978981
4,432.144,0.52089,1.71454,0.01388,0.0156,0.99814,0.03619,0.01434,2.53179,3.98533,0.10379,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,537.893,0.40268,1.64177,0.01046,0.01422,0.99951,0.02391,0.00951,2.40071,4.81891,0.09741,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,643.166,0.34573,1.61499,0.00881,0.03056,0.99668,0.04714,0.01776,2.69621,3.2591,0.11076,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,749.367,0.31347,1.59729,0.00787,0.04206,0.96562,0.0603,0.02018,2.65047,4.14284,0.10847,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,855.337,0.29117,1.58909,0.00729,0.00989,0.99984,0.02485,0.01441,0.41905,5.14476,0.0161,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,960.719,0.27016,1.57786,0.00674,0.05912,0.99591,0.06125,0.02316,2.64625,2.93078,0.10805,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1065.65,0.26171,1.57588,0.00652,0.02398,0.99979,0.0406,0.01755,1.53315,4.35361,0.06176,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1170.8,0.25397,1.57254,0.00632,0.03864,0.99899,0.06101,0.02432,2.57837,2.74097,0.10479,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1276.22,0.24073,1.56968,0.00595,0.03127,0.99727,0.04166,0.02254,0.42727,4.3336,0.01633,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1381.29,0.23788,1.56828,0.00588,0.01923,1,0.02643,0.0154,0.30504,5.37975,0.01164,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1486.09,0.2335,1.5646,0.00575,0.03282,0.99563,0.05555,0.01998,2.51884,3.32184,0.10232,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1591,0.22723,1.56213,0.00562,0.00946,1,0.02408,0.01426,0.31562,4.87769,0.01197,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1695.78,0.22634,1.56185,0.00556,0.02483,1,0.02994,0.01193,2.33655,4.36655,0.095,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1800.55,0.22006,1.55846,0.00538,0.01294,1,0.02589,0.01056,1.61514,4.77494,0.06555,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1905.28,0.21245,1.55591,0.00521,0.03121,0.99941,0.032,0.01336,1.71897,4.48282,0.0697,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2009.78,0.21185,1.54787,0.00519,0.01786,1,0.03848,0.01606,0.80878,4.55048,0.03211,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2115.12,0.21066,1.52292,0.0052,0.03217,0.27865,0.06929,0.04869,1.37405,3.53352,0.05563,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2220.26,0.20932,1.51072,0.00512,0.92874,0.10536,0.09826,0.03938,1.82678,3.95277,0.07409,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2324.62,0.20539,1.49965,0.00503,0.78066,0.21568,0.21993,0.07434,1.48206,2.90145,0.05992,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,2429.16,0.20628,1.48561,0.00506,0.51977,0.16982,0.15729,0.05715,0.76471,3.79952,0.03031,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,2533.99,0.20606,1.47251,0.00502,0.77953,0.22875,0.18512,0.07045,1.4755,3.67445,0.05934,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
