epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.891,0.43099,1.2419,0.01122,0.4438,0.63017,0.53804,0.21439,2.57084,2.12988,0.10458,0.000166355,0.000166355,0.0668953
2,186.392,0.27647,1.22854,0.00702,0.44204,0.63851,0.54348,0.21684,2.554,2.13657,0.10372,0.000326428,0.000326428,0.0337221
3,267.834,0.13294,1.21306,0.00322,0.44116,0.62334,0.5332,0.21203,2.53212,2.27454,0.1027,0.000479901,0.000479901,0.000542206
4,348.489,0.09461,1.20926,0.00223,0.4351,0.61977,0.52698,0.21026,2.52655,2.22038,0.10244,0.0004703,0.0004703,0.0004703
5,429.413,0.09192,1.20604,0.00218,0.45398,0.61484,0.54211,0.21558,2.5423,2.05829,0.1031,0.0004604,0.0004604,0.0004604
6,510.508,0.0924,1.20668,0.00218,0.45918,0.61437,0.53891,0.2148,2.53959,2.17437,0.10297,0.0004505,0.0004505,0.0004505
7,591.716,0.09286,1.20605,0.00218,0.46073,0.62118,0.55007,0.21909,2.5489,2.11891,0.10349,0.0004406,0.0004406,0.0004406
8,672.385,0.09195,1.2125,0.00217,0.45582,0.63245,0.54906,0.21475,2.55338,2.13811,0.10369,0.0004307,0.0004307,0.0004307
9,752.904,0.09188,1.20622,0.00218,0.45441,0.6374,0.54762,0.21851,2.54783,2.14853,0.10337,0.0004208,0.0004208,0.0004208
10,833.787,0.09121,1.20524,0.00216,0.47341,0.62245,0.55567,0.22205,2.56092,2.00605,0.10396,0.0004109,0.0004109,0.0004109
11,914.901,0.09195,1.20358,0.00216,0.47963,0.61625,0.55518,0.22143,2.55832,2.1334,0.10388,0.000401,0.000401,0.000401
12,994.768,0.09167,1.20503,0.00215,0.48515,0.6079,0.55794,0.2226,2.56206,2.0583,0.10403,0.0003911,0.0003911,0.0003911
13,1075.04,0.09205,1.20668,0.00217,0.48746,0.60427,0.55233,0.2202,2.5663,2.04822,0.10424,0.0003812,0.0003812,0.0003812
14,1154.7,0.09145,1.20901,0.00214,0.47609,0.62501,0.55864,0.22328,2.55292,2.03082,0.10362,0.0003713,0.0003713,0.0003713
15,1235.21,0.09084,1.20745,0.00213,0.47607,0.62278,0.55315,0.2209,2.5625,2.07087,0.10408,0.0003614,0.0003614,0.0003614
16,1315.3,0.09037,1.2033,0.00212,0.48664,0.59685,0.54844,0.21921,2.54541,2.04227,0.10334,0.0003515,0.0003515,0.0003515
17,1395.54,0.09063,1.20884,0.00213,0.47963,0.61905,0.5566,0.22207,2.55032,2.06696,0.10353,0.0003416,0.0003416,0.0003416
18,1476.17,0.09161,1.20449,0.00215,0.49463,0.60405,0.5542,0.2213,2.56301,2.10495,0.10408,0.0003317,0.0003317,0.0003317
19,1555.69,0.09152,1.20229,0.00215,0.49288,0.60236,0.55792,0.22234,2.56802,2.05391,0.10432,0.0003218,0.0003218,0.0003218
20,1635.59,0.09021,1.20478,0.00213,0.49664,0.60007,0.55507,0.2217,2.56761,2.04637,0.10428,0.0003119,0.0003119,0.0003119
21,1715.63,0.0903,1.19695,0.00212,0.49403,0.59724,0.54975,0.21977,2.5557,2.1287,0.10383,0.000302,0.000302,0.000302
22,1795.75,0.09087,1.20401,0.00214,0.49142,0.59597,0.5486,0.21927,2.55487,2.14261,0.10371,0.0002921,0.0002921,0.0002921
23,1876.09,0.09078,1.20681,0.00214,0.48591,0.61053,0.55016,0.21959,2.55928,2.07242,0.10394,0.0002822,0.0002822,0.0002822
24,1955.95,0.08902,1.19942,0.0021,0.4941,0.61401,0.56043,0.22382,2.56605,2.03702,0.10423,0.0002723,0.0002723,0.0002723
25,2038.58,0.09023,1.20193,0.00213,0.48995,0.61024,0.55738,0.22258,2.56425,2.08132,0.10415,0.0002624,0.0002624,0.0002624
26,2118.34,0.08939,1.20104,0.0021,0.48966,0.61962,0.5602,0.22367,2.56538,2.13584,0.10421,0.0002525,0.0002525,0.0002525
27,2198.11,0.09072,1.20524,0.00214,0.48735,0.62048,0.55911,0.22346,2.55383,2.10819,0.10374,0.0002426,0.0002426,0.0002426
28,2278.65,0.08928,1.20344,0.0021,0.48641,0.61424,0.55403,0.22113,2.56479,2.12028,0.10416,0.0002327,0.0002327,0.0002327
29,2358.81,0.08982,1.19924,0.00211,0.48673,0.61576,0.5549,0.22073,2.56952,2.08605,0.10439,0.0002228,0.0002228,0.0002228
30,2439.24,0.0891,1.19995,0.0021,0.49072,0.61157,0.55519,0.22139,2.56689,2.05762,0.10426,0.0002129,0.0002129,0.0002129
31,2519.67,0.08972,1.19971,0.0021,0.4923,0.61624,0.55878,0.22304,2.5684,2.06173,0.10434,0.000203,0.000203,0.000203
32,2600.18,0.08772,1.20295,0.00207,0.49051,0.62046,0.55961,0.22357,2.56502,2.05804,0.10421,0.0001931,0.0001931,0.0001931
33,2679.99,0.08925,1.20205,0.00209,0.49191,0.61705,0.55896,0.22318,2.56697,2.05705,0.1043,0.0001832,0.0001832,0.0001832
34,2759.99,0.08712,1.19953,0.00205,0.49468,0.61639,0.56294,0.22463,2.57121,2.00129,0.10448,0.0001733,0.0001733,0.0001733
35,2840.07,0.08877,1.19901,0.00209,0.4955,0.60833,0.55785,0.2227,2.56394,2.05344,0.10418,0.0001634,0.0001634,0.0001634
36,2921.55,0.08846,1.20048,0.00208,0.49095,0.61372,0.55778,0.22242,2.56497,2.05626,0.10422,0.0001535,0.0001535,0.0001535
37,3002.38,0.08691,1.20099,0.00205,0.49063,0.61887,0.55872,0.22321,2.56205,2.04756,0.10411,0.0001436,0.0001436,0.0001436
38,3083.66,0.08666,1.19987,0.00204,0.49219,0.61303,0.55822,0.22285,2.56506,2.03882,0.10423,0.0001337,0.0001337,0.0001337
39,3164.13,0.08814,1.201,0.00206,0.49131,0.61591,0.55733,0.2221,2.57041,2.03896,0.10445,0.0001238,0.0001238,0.0001238
40,3244.82,0.08707,1.19758,0.00205,0.49121,0.61347,0.55576,0.22133,2.56804,2.06286,0.10435,0.0001139,0.0001139,0.0001139
41,3325.2,0.0768,0.95207,0.00309,0.51983,0.62734,0.56772,0.18101,2.03709,2.41812,0.08294,0.000104,0.000104,0.000104
42,3404.93,0.06632,0.89409,0.00262,0.53611,0.62038,0.58159,0.1842,1.77793,2.38666,0.07248,9.41e-05,9.41e-05,9.41e-05
43,3484.61,0.06316,0.88816,0.00248,0.54989,0.61306,0.59322,0.18667,1.93421,2.18781,0.07895,8.42e-05,8.42e-05,8.42e-05
44,3563.85,0.06142,0.88386,0.00241,0.56461,0.60889,0.60197,0.18842,2.22756,1.89829,0.09106,7.43e-05,7.43e-05,7.43e-05
45,3643.51,0.06068,0.8874,0.00238,0.5654,0.61161,0.60677,0.18927,2.48205,1.64978,0.10154,6.44e-05,6.44e-05,6.44e-05
46,3722.53,0.05937,0.87714,0.00232,0.56094,0.61443,0.60924,0.1899,2.6336,1.49836,0.10779,5.45e-05,5.45e-05,5.45e-05
47,3801.69,0.0582,0.87672,0.00228,0.56184,0.61501,0.61172,0.19073,2.6759,1.44622,0.10955,4.46e-05,4.46e-05,4.46e-05
48,3880.92,0.05871,0.8834,0.0023,0.56258,0.61683,0.6134,0.19133,2.68258,1.42836,0.10982,3.47e-05,3.47e-05,3.47e-05
49,3959.48,0.0581,0.88224,0.00228,0.56125,0.61896,0.6145,0.1917,2.6954,1.41135,0.11036,2.48e-05,2.48e-05,2.48e-05
50,4038.08,0.05794,0.87887,0.00226,0.56004,0.62058,0.61479,0.19191,2.70391,1.39987,0.11071,1.49e-05,1.49e-05,1.49e-05
