epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.502,0.92755,1.53763,0.03416,0.32074,0.20136,0.16484,0.06594,2.19786,2.68518,0.10223,3.33022e-05,3.33022e-05,0.0667312
2,321.887,0.66007,1.43777,0.02322,0.45734,0.3148,0.32094,0.11435,2.22389,2.32684,0.10195,6.53161e-05,6.53161e-05,0.0334298
3,461.036,0.54214,1.40399,0.01885,0.41854,0.41007,0.3765,0.14689,2.16674,2.04624,0.09762,9.60101e-05,9.60101e-05,0.000127192
4,598.162,0.41419,1.37111,0.01407,0.39379,0.47208,0.3963,0.22285,1.7053,1.92919,0.07394,9.406e-05,9.406e-05,9.406e-05
5,737.049,0.31071,1.33578,0.00999,0.48428,0.62118,0.55022,0.49408,0.50555,1.32912,0.02133,9.208e-05,9.208e-05,9.208e-05
6,875.873,0.24509,1.31095,0.00737,0.48462,0.64015,0.55808,0.50171,0.49571,1.34416,0.02086,9.01e-05,9.01e-05,9.01e-05
7,1013.87,0.21592,1.29983,0.00636,0.48637,0.64498,0.56155,0.50695,0.44363,1.32171,0.01863,8.812e-05,8.812e-05,8.812e-05
8,1154.04,0.19722,1.29595,0.00575,0.47946,0.65037,0.56324,0.52319,0.38092,1.29513,0.01596,8.614e-05,8.614e-05,8.614e-05
9,1291.96,0.18178,1.28651,0.00528,0.48301,0.64742,0.56313,0.53157,0.36528,1.33244,0.01531,8.416e-05,8.416e-05,8.416e-05
10,1430.06,0.17115,1.28258,0.00496,0.48263,0.64567,0.56342,0.5413,0.34969,1.3385,0.01467,8.218e-05,8.218e-05,8.218e-05
11,1567.89,0.16104,1.28051,0.00461,0.48068,0.65044,0.56278,0.54664,0.3409,1.34823,0.01431,8.02e-05,8.02e-05,8.02e-05
12,1714.72,0.15504,1.27726,0.00444,0.48518,0.64588,0.56462,0.55542,0.32734,1.34119,0.01375,7.822e-05,7.822e-05,7.822e-05
13,1868.44,0.14922,1.27341,0.00426,0.47693,0.65491,0.56275,0.55559,0.32525,1.35517,0.01368,7.624e-05,7.624e-05,7.624e-05
