epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.723,1.0759,8.02599,0.03474,0.64923,0.7327,0.75346,0.6877,0.39524,3.04948,0.01713,0.001,0.001,0.001
2,341.378,0.77124,6.56506,0.02416,0.64429,0.73608,0.75378,0.74709,0.30059,2.96803,0.01293,0.000967,0.000967,0.000967
3,502.772,0.70169,6.35916,0.02174,0.66285,0.72775,0.75724,0.75323,0.28677,2.95886,0.0123,0.000934,0.000934,0.000934
4,663.896,0.66227,6.27653,0.0205,0.65083,0.73441,0.7489,0.74573,0.2711,3.16003,0.01161,0.000901,0.000901,0.000901
5,825.789,0.62929,6.15071,0.01938,0.6661,0.72736,0.75127,0.75036,0.23157,3.2986,0.00987,0.000868,0.000868,0.000868
6,987.387,0.61477,6.12105,0.01894,0.64611,0.73908,0.74481,0.74322,0.23832,3.34867,0.01017,0.000835,0.000835,0.000835
7,1149.3,0.5897,6.06038,0.01819,0.65259,0.73682,0.73062,0.72877,0.26864,4.23146,0.0115,0.000802,0.000802,0.000802
8,1311.9,0.57259,5.99899,0.01759,0.66342,0.72848,0.73548,0.73434,0.22732,3.7414,0.00969,0.000769,0.000769,0.000769
9,1474.19,0.56061,5.98218,0.01718,0.6443,0.73455,0.7365,0.73607,0.19336,3.49326,0.00822,0.000736,0.000736,0.000736
10,1635.8,0.55288,5.9213,0.01694,0.65395,0.73122,0.73497,0.73456,0.17685,3.85223,0.0075,0.000703,0.000703,0.000703
11,1798.27,0.54257,5.90006,0.01661,0.6553,0.72904,0.75069,0.74463,0.27646,3.15316,0.01185,0.00067,0.00067,0.00067
12,1958.09,0.53741,5.87174,0.01644,0.65498,0.74287,0.73996,0.73808,0.23534,3.81034,0.01005,0.000637,0.000637,0.000637
13,2118,0.53053,5.84526,0.01619,0.65785,0.73443,0.73486,0.73315,0.2365,3.72936,0.01009,0.000604,0.000604,0.000604
14,2279,0.51937,5.81879,0.0159,0.6555,0.7439,0.73584,0.73517,0.21466,4.06016,0.00915,0.000571,0.000571,0.000571
15,2441.15,0.51562,5.79079,0.01575,0.66473,0.7423,0.7478,0.74715,0.20117,3.4961,0.00856,0.000538,0.000538,0.000538
16,2604.34,0.50972,5.77766,0.01555,0.65538,0.73603,0.7425,0.74117,0.23869,3.54928,0.01019,0.000505,0.000505,0.000505
17,2765.96,0.50643,5.78381,0.01545,0.64692,0.7473,0.74637,0.74514,0.23355,3.41252,0.00997,0.000472,0.000472,0.000472
18,2928.21,0.50533,5.78008,0.0154,0.64281,0.74985,0.7462,0.74527,0.21714,3.44804,0.00925,0.000439,0.000439,0.000439
19,3091.17,0.50063,5.74881,0.01527,0.64029,0.75144,0.74029,0.73832,0.25294,3.73004,0.01081,0.000406,0.000406,0.000406
20,3254.31,0.49648,5.73971,0.01515,0.65826,0.73602,0.73675,0.73569,0.21769,3.8716,0.00927,0.000373,0.000373,0.000373
21,3413.65,0.13567,3.36956,0.00592,0.67456,0.72483,0.76245,0.76204,0.21215,2.87586,0.00903,0.00034,0.00034,0.00034
22,3573.14,0.11167,3.10536,0.00485,0.66163,0.7433,0.7661,0.76591,0.18798,2.82048,0.00798,0.000307,0.000307,0.000307
23,3732.78,0.10266,3.08527,0.00444,0.65601,0.7572,0.76883,0.76867,0.20099,2.80558,0.00854,0.000274,0.000274,0.000274
24,3892.62,0.10034,3.05747,0.00433,0.66669,0.74541,0.77018,0.7698,0.20852,2.79397,0.00887,0.000241,0.000241,0.000241
25,4054.26,0.09574,3.0462,0.00414,0.68162,0.72735,0.77124,0.77095,0.20996,2.7996,0.00893,0.000208,0.000208,0.000208
26,4213.46,0.09361,3.0049,0.00404,0.66346,0.75375,0.77326,0.77295,0.20771,2.77443,0.00883,0.000175,0.000175,0.000175
27,4372.35,0.09299,3.00517,0.00399,0.66262,0.75189,0.77416,0.77402,0.19879,2.76789,0.00845,0.000142,0.000142,0.000142
28,4530.6,0.09063,2.98251,0.00389,0.66964,0.74392,0.77412,0.774,0.19785,2.76383,0.0084,0.000109,0.000109,0.000109
29,4690.21,0.0899,2.96239,0.00386,0.66508,0.74988,0.77463,0.77451,0.20145,2.76117,0.00856,7.6e-05,7.6e-05,7.6e-05
30,4850.02,0.08898,2.97297,0.00381,0.66238,0.75506,0.77533,0.77522,0.19989,2.75364,0.00849,4.3e-05,4.3e-05,4.3e-05
