epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.929,0.483,6.39948,0.01602,0.48823,0.66243,0.53701,0.53532,0.25914,6.61709,0.01092,0.00333022,0.00333022,0.0700281
2,341.948,0.47374,6.22838,0.01563,0.45054,0.6125,0.52237,0.50771,0.31671,6.35832,0.01332,0.00653161,0.00653161,0.0398961
3,493.814,0.46373,6.22657,0.01489,0.44439,0.55121,0.40907,0.37144,0.41299,10.5835,0.01734,0.00960101,0.00960101,0.00963219
4,643.881,0.43919,6.21814,0.01371,0.45213,0.55494,0.43112,0.38341,0.49769,9.62009,0.02115,0.009406,0.009406,0.009406
5,791.913,0.39279,6.03216,0.01203,0.51656,0.56095,0.48131,0.44205,0.39516,10.0922,0.01677,0.009208,0.009208,0.009208
6,942.733,0.37096,5.94573,0.01123,0.49358,0.64223,0.54448,0.5088,0.37786,5.46303,0.01592,0.00901,0.00901,0.00901
7,1094.63,0.3493,5.87192,0.01046,0.50802,0.65919,0.53699,0.53446,0.24183,9.31999,0.01018,0.008812,0.008812,0.008812
8,1245.47,0.33149,5.79638,0.0099,0.52955,0.65624,0.56808,0.56658,0.18853,9.78556,0.00791,0.008614,0.008614,0.008614
9,1396.87,0.3232,5.75143,0.00959,0.54604,0.64515,0.57846,0.57651,0.16754,6.25736,0.00703,0.008416,0.008416,0.008416
10,1546.19,0.3119,5.68935,0.00921,0.54771,0.66113,0.58088,0.57888,0.26868,7.91055,0.01132,0.008218,0.008218,0.008218
11,1694.01,0.30046,5.65235,0.00878,0.57636,0.64938,0.61946,0.61807,0.17957,5.5381,0.0076,0.00802,0.00802,0.00802
12,1842.66,0.29784,5.62362,0.00872,0.57595,0.67312,0.63829,0.6363,0.18882,5.12072,0.00801,0.007822,0.007822,0.007822
13,1991.89,0.28966,5.58003,0.00846,0.51989,0.67426,0.58731,0.58632,0.10319,5.99805,0.00435,0.007624,0.007624,0.007624
14,2141.05,0.28106,5.53845,0.00816,0.54885,0.68597,0.63308,0.63237,0.1069,4.13122,0.0045,0.007426,0.007426,0.007426
15,2290.35,0.27707,5.50482,0.00799,0.57749,0.69117,0.66005,0.65887,0.10411,3.92545,0.00436,0.007228,0.007228,0.007228
16,2438.44,0.27356,5.48499,0.00788,0.56327,0.67707,0.64213,0.64065,0.19374,4.6593,0.00821,0.00703,0.00703,0.00703
17,2586.32,0.26972,5.4772,0.00776,0.59193,0.68827,0.65212,0.65134,0.10958,4.97149,0.00462,0.006832,0.006832,0.006832
18,2734.73,0.26669,5.47644,0.00763,0.59698,0.69805,0.65446,0.65362,0.08949,5.88164,0.00376,0.006634,0.006634,0.006634
19,2884.59,0.26082,5.42241,0.00744,0.60122,0.69515,0.67584,0.67523,0.09816,4.71001,0.00411,0.006436,0.006436,0.006436
20,3034.72,0.25661,5.3893,0.00728,0.59869,0.70194,0.68165,0.68119,0.09515,4.8253,0.00401,0.006238,0.006238,0.006238
21,3184.51,0.25205,5.38179,0.00713,0.60927,0.71142,0.67344,0.67305,0.11947,6.02964,0.00503,0.00604,0.00604,0.00604
22,3334.7,0.24387,5.34514,0.00689,0.61442,0.70312,0.69412,0.69349,0.11455,3.99965,0.00484,0.005842,0.005842,0.005842
